compound_name	smiles	CID	logBB	BBB+/BBB-
p-bromospiperone	C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCCC(=O)C4=CC=C(C=C4)F	156386	0.07	
didesipramine	C1CC2=CC=CC=C2N(C3=CC=CC=C31)CCCN	159642	1.05	
alpha-hydroxyalprazolam	C1C2=NN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4)CO	162244	-1.28	
beloxepin	CC1=CC=CC2=C1OC3=CC=CC=C3C4(C2CN(CC4)C)O	166560	0.82	
atropine	CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3	174174	-0.06	
4-hydroxyalprazolam	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2O)C4=CC=CC=C4	182017	-1.48	
phenserine	CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC4=CC=CC=C4)C)C	192706	1.0	
zanapezil	C1CCNC2=C(C1)C=CC(=C2)C(=O)CCC3CCN(CC3)CC4=CC=CC=C4	198752	1.14	
MP 005-942-485	CC1C2=CC=CC=C2CCN1C3=NC(=NC(=C3C)C)NC4=CC=C(C=C4)F	204104	0.68	
saquinavir	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O	441243	-0.95	
tibolone	CC1CC2=C(CCC(=O)C2)C3C1C4CCC(C4(CC3)C)(C#C)O	444008	0.4	
darifenacin	C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5	444031	-0.62	
9-hydroxyrisperidone	CC1=C(C(=O)N2CC(CCC2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	475100	-0.67	
phenothiazine	CN(C)CCCN1C2=CC=CC=C2S(=O)C3=CC=CC=C31	547559	-0.48	
dioform	C(=CCl)Cl	638186	0.04	
cis-dichloroethylene	C(=C\Cl)\Cl	643833	-0.13	
tamoxifen	CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3	2733526	0.92	
CDS1 000170	CC1=CSC(=N1)N=C(N)N	2776666	-0.04	
thiopental	CCCC(C)C1(C(=O)NC(=S)NC1=O)CC	3000715	-0.19	
thioperamide	C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3	3035905	-0.17	
N-(4-phenylthiazol-2-yl)-guanidine	C1=CC=C(C=C1)C2=CSC(=N2)N=C(N)N	3763607	-0.18	
3-methyl-2-phenyl-N-(1-phenylpropyl)-quinoline-4- carboxamide	CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)C	3946663	0.3	
daidzein	C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O	5281708	-0.15	
codeine	CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O	5284371	0.45	
morphine	CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O	5288826	-0.26	
fluvoxamine	COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F	5324346	0.79	
levorphanol	CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O	5359272	0.0	
cyclosporin A	CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	6434601	-0.78	
tyrylen	CCCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN4CCN(CC4)C)C=C1.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O	6433234	0.83	
ZINC 04226975	C1=CC=C(C=C1)C2=CSC(=N2)CC[NH3+]	7138787	-0.87	
CHEBI: 568657	C1CN(CCN1)C2=NC(=C(C=C2)C(F)(F)F)Cl	9796408	1.64	
CID 9861160	C=CCC(C1=CC=CC=C1C2=NOC3=CC=CC=C32)N	9861160	0.0	
CHEBI: 167165	C1CN(CCC1COC2=CC=C(C=C2)C#N)CC=CI	9864749	1.13	
org 5222	CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24	9903970	1.03	
CHEBI: 568728	C1CC(=O)N(C1)CCCCN2CCN(CC2)C3=NC=CC(=C3)C(F)(F)F	9907401	0.16	
CHEBI: 338581	CC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2	9971484	-0.46	
2-(2-fluoro-ethyl)-isothiourea	C(CSC(=N)N)F	10011896	-0.27	
CHEBI: 338033	C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=CC=CC=N3	10019237	0.69	
CHEBI: 338584	CC(CO)(C1=NC(=NO1)C2=C3CN(C(=O)C4=C(N3C=N2)C=CC=C4Cl)C)O	10091748	-1.82	
CID 10313352	CC(C)(C)[N+](=CC1=CC=CC=C1)[O-]	10313352	0.05	
MOLI001288	C1=CN(C(=N1)[N+](=O)[O-])CCCF	10352163	-0.24	
MOLI001285	C1=CN(C(=N1)[N+](=O)[O-])CCCCCCCCF	10377120	-0.17	
CHEBI: 338585	CC(C)(C1=NC(=NO1)C2=C3CN(C(=O)C4=C(N3C=N2)C=CC=C4Cl)C)O	10384745	-1.34	
CHEBI: 338140	C1CCN(CC1)CC2=CC(=CC=C2)OCCCO	10444765	-0.02	
CID 10451635	C1=CC(=C(C=C1C2=NC3=C(S2)C=C(C=C3)O)I)N	10451635	0.18	
3-methylhexane	CC[CH][C]([CH2])CC	11115931	0.9	
CHEBI: 385616	C1CCN(CC1)CC2=CC(=C(C=C2)I)CN3CCCCC3	12780299	0.98	
CHEBI: 163710	CN(C)C1=NC=CC(=C1)C2=NC(=NN2)N	12889418	-1.17	
CHEBI: 287982	CCCCCCN1CCN(CC1)C2=CC=C(C=C2)I	13720676	1.01	
5-octyl-5-ethyl barbituric acid	CCCCCCCCC1(C(=O)NC(=O)NC1=O)CC	13755681	0.24	
CHEBI: 339093	C1=CC(=C(N=C1)CSCCNC2=C(C=CN2)[N+](=O)[O-])Br	14022480	-0.67	
CHEBI: 339092	C1=CC=NC(=C1)CSCCNC2=C(C=CN2)[N+](=O)[O-]	14022481	-0.66	
CHEBI: 337303	C1=CC=C(C=C1)CC2=CNC(=C2[N+](=O)[O-])NCCSCC3=CC=CC=N3	14022483	-0.12	
CHEBI: 338035	CN(C)CC1=CC=C(O1)CSCCNC2=C(C(=CN2)CC3=CC=CC=C3)[N+](=O)[O-]	14022484	-0.73	
CHEBI: 338961	C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC=CS3	14022497	0.44	
CHEBI: 339055	C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4O3	14022499	0.22	
CHEBI: 338063	C1=CC(=CC(=C1)N)C2=CSC(=N2)N=C(N)N	14022509	-1.15	
CHEBI: 338620	CCNC(=NCCSCC1=C(C=CC=N1)Br)NC#N	14022517	-2.15	
CHEBI: 145922	CN=C(NC#N)NC1=CC=CC(=C1)C2=CSC(=N2)N=C(N)N	14022519	-1.54	
16a-fluoroestradiol	CC12CCC3C(C1CC(C2O)F)CCC4=C3C=CC(=C4)O	14211618	-0.3	
MP 001-772-915	C(C(Cl)Br)C(F)(F)F	18356503	0.35	
CID 22154175	CC1=CC=CC2=C1OC3=CC=CC=C3C4(C2CNCC4)O	22154175	0.52	
CID 23235109	C(C(F)Br)C(F)(F)F	23235109	0.27	
ZINC 05140934	C[NH2+]CCCN1C2=C(CCC3=CC=CC=C31)C=C(C=C2)O	40508074	0.53	
ZINC 11886332	C1=CSC(=N1)CC[NH3+]	42251614	-0.58	
3-bromocytisine	C1C2CNC(C1C3=CC=CC(=O)N3C2)Br	45268400	-0.05	
