inchi_parent,record_id,smiles_resolved,cid,iupac_name,names_resolved,logBB_resolved,logBB_resolution_comment,BBB+/BBB-_resolved,BBB+/BBB-_resolution_comment
"InChI=1S/C17H23N5O2/c23-15-4-5-16(24)22(15)11-13-2-3-14-12-21(9-8-20(14)10-13)17-18-6-1-7-19-17/h1,6-7,13-14H,2-5,8-12H2/t13-,14-/m0/s1",R6_adenot_2004:1453,O=C1CCC(=O)N1C[C@H]1CC[C@H]2CN(c3ncccn3)CCN2C1,183092.0,"1-[[(7S,9aS)-2-pyrimidin-2-yl-1,3,4,6,7,8,9,9a-octahydropyrido[1,2-a]pyrazin-7-yl]methyl]pyrrolidine-2,5-dione",Sunepitron,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H23N7O5/c1-23-13(25)6-10(22-17(23)29)15(27)21-11(5-9-7-19-8-20-9)16(28)24-4-2-3-12(24)14(18)26/h7-8,10-12H,2-6H2,1H3,(H2,18,26)(H,19,20)(H,21,27)(H,22,29)/t10-,11-,12-/m0/s1",R14_ghose_2012:238|R23_gupta_2019:315,CN1C(=O)C[C@@H](C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N2CCC[C@H]2C(N)=O)NC1=O,114750.0,"(4S)-N-[(2S)-1-[(2S)-2-carbamoylpyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-1-methyl-2,6-dioxo-1,3-diazinane-4-carboxamide",Taltirelin,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H23NO/c1-17(9-10-18(2)3)16-12-13-6-4-5-7-14(13)15(16)8-11-19-17/h4-7H,8-12H2,1-3H3",R6_adenot_2004:1608,CN(C)CCC1(C)OCCC2=C1Cc1ccccc12,431429.0,"N,N-dimethyl-2-(1-methyl-4,9-dihydro-3H-indeno[2,1-c]pyran-1-yl)ethanamine",Pirandamine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H23NO/c1-18-9-8-17-7-3-2-4-14(17)16(18)10-12-5-6-13(19)11-15(12)17/h5-6,11,14,16,19H,2-4,7-10H2,1H3",R46_mendoza_valencia_2017:243,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,3918.0,"17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-trien-4-ol",Racemorphan,0.0,LogBB group A,BBB+,BBB+/BBB- group A
"InChI=1S/C17H23NO/c1-18-9-8-17-7-3-2-4-14(17)16(18)10-12-5-6-13(19)11-15(12)17/h5-6,11,14,16,19H,2-4,7-10H2,1H3/t14-,16+,17+/m0/s1",R6_adenot_2004:1053|R6_adenot_2004:1084|R12_garg_2006:99|R14_ghose_2012:123|R21_muehlbacher_2011:323|R23_gupta_2019:123|R25_brito_sanchez_2015:270|R26_chico_2009:239|R39_shayanfar_2011:113|R40_vilar_2010:136|R47_radchenko_2020:274|R51_doninger_2002:237,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,5359272.0,"(1R,9R,10R)-17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-trien-4-ol",Levorphanol|Racemorphan,0.0,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C17H23NO/c1-18-9-8-17-7-3-2-4-14(17)16(18)10-12-5-6-13(19)11-15(12)17/h5-6,11,14,16,19H,2-4,7-10H2,1H3/t14-,16+,17+/m1/s1",R6_adenot_2004:1027,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,5360697.0,"(1S,9S,10S)-17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-trien-4-ol",Dextrorphan,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H23NO2/c1-4-20-16(19)17(14-10-6-5-7-11-14)13-9-8-12-15(17)18(2)3/h5-8,10-12,15H,4,9,13H2,1-3H3/t15-,17+/m1/s1",R6_adenot_2004:1105|R14_ghose_2012:251|R23_gupta_2019:244,CCOC(=O)[C@]1(c2ccccc2)CCC=C[C@H]1N(C)C,30131.0,"ethyl (1S,2R)-2-(dimethylamino)-1-phenylcyclohex-3-ene-1-carboxylate",Tilidine|Dextilidine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3",R46_mendoza_valencia_2017:478,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3661.0,(8-methyl-8-azabicyclo[3.2.1]octan-3-yl) 3-hydroxy-2-phenylpropanoate,Atropine Sulfate,-0.06,LogBB group A,BBB+,BBB+/BBB- group A
"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15?,16-/m1/s1",R6_adenot_2004:362|R51_doninger_2002:69,CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,154417.0,"[(1S,5R)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] (2S)-3-hydroxy-2-phenylpropanoate",Hyoscyamine,,No LogBB values,,No BBB class assigned
"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15?,16?",R6_adenot_2004:359|R12_garg_2006:26|R21_muehlbacher_2011:301|R25_brito_sanchez_2015:572|R28_li_2005:232|R39_shayanfar_2011:18|R40_vilar_2010:41|R44_bujak_2015:15|R47_radchenko_2020:261|R50_sobanska_2019:21|R51_doninger_2002:13,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,174174.0,"[(1R,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate",Atropine,-0.06,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C17H23NO4/c1-18(21)13-7-8-14(18)10-15(9-13)22-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15?,16-,18?/m1/s1",R6_adenot_2004:363,C[N+]1([O-])[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,76969140.0,"[(1R,5S)-8-methyl-8-oxido-8-azoniabicyclo[3.2.1]octan-3-yl] (2S)-3-hydroxy-2-phenylpropanoate",Atropine-Oxide,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H24N2O3/c1-4-19-9-5-6-14(19)11-18-17(21)15-10-13(12(2)20)7-8-16(15)22-3/h7-8,10,14H,4-6,9,11H2,1-3H3,(H,18,21)",R6_adenot_2004:1153,CCN1CCCC1CNC(=O)c1cc(C(C)=O)ccc1OC,3085389.0,5-acetyl-N-[(1-ethylpyrrolidin-2-yl)methyl]-2-methoxybenzamide,Etacepride,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H24N4/c1-14-4-3-5-17(12-14)21-10-8-20(9-11-21)7-6-16-13-15(2)18-19-16/h3-5,12-13H,6-11H2,1-2H3,(H,18,19)",R6_adenot_2004:1519,Cc1cccc(N2CCN(CCc3cc(C)[nH]n3)CC2)c1,3084338.0,1-(3-methylphenyl)-4-[2-(5-methyl-1H-pyrazol-3-yl)ethyl]piperazine,Tolpiprazole,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H24N4O2S2/c1-17(2,3)12-8-19-13(23-12)10-24-14-9-20-16(25-14)21-15(22)11-4-6-18-7-5-11/h8-9,11,18H,4-7,10H2,1-3H3,(H,20,21,22)",R25_brito_sanchez_2015:479|R26_chico_2009:82|R46_mendoza_valencia_2017:403,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,3025986.0,"N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]piperidine-4-carboxamide","Bms-387032|Bms-387032, Sns-032|N-(5-(((5-(1,1-Dimethylethyl)-2-Oxazolyl)Methyl)Thio)-2-Thiazolyl)-4-Piperidinecarboxamide",-0.01,LogBB group D,BBB+,BBB+/BBB- group A
"InChI=1S/C17H24NO3/c1-18(2)13-8-9-14(18)11-15(10-13)21-17(20)16(19)12-6-4-3-5-7-12/h3-7,13-16,19H,8-11H2,1-2H3/q+1",R14_ghose_2012:607,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,3622.0,"(8,8-dimethyl-8-azoniabicyclo[3.2.1]octan-3-yl) 2-hydroxy-2-phenylacetate","Homatropine Methylbromide|8,8-Dimethyl-8Lambda(5)-Azabicyclo[3.2.1]Oct-3-Yl Hydroxy(Phenyl)Acetate",,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C17H24O3/c1-12-9-14(11-17(2,3)10-12)20-16(19)15(18)13-7-5-4-6-8-13/h4-8,12,14-15,18H,9-11H2,1-3H3",R14_ghose_2012:472|R23_gupta_2019:485,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,2893.0,"(3,3,5-trimethylcyclohexyl) 2-hydroxy-2-phenylacetate",Cyclandelate,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C17H25N/c1-4-10-16(11-5-1)17(12-6-2-7-13-17)18-14-8-3-9-15-18/h1,4-5,10-11H,2-3,6-9,12-15H2",R3_abraham_2006:226|R5_guerra_2008:82|R6_adenot_2004:946|R12_garg_2006:133|R21_muehlbacher_2011:165|R25_brito_sanchez_2015:352|R26_chico_2009:307|R39_shayanfar_2011:73|R40_vilar_2010:206|R41_toropov_2017:204|R46_mendoza_valencia_2017:308|R47_radchenko_2020:189|R51_doninger_2002:280,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,6468.0,1-(1-phenylcyclohexyl)piperidine,Phencyclidine,0.44,LogBB group D,BBB+,BBB+/BBB- group A
"InChI=1S/C17H25N3O2/c18-9-14-2-1-3-20(14)15(21)10-19-16-5-12-4-13(6-16)8-17(22,7-12)11-16/h12-14,19,22H,1-8,10-11H2/t12?,13?,14-,16?,17?/m0/s1",R23_gupta_2019:1026,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,6918537.0,(2S)-1-[2-[(3-hydroxy-1-adamantyl)amino]acetyl]pyrrolidine-2-carbonitrile,Vildagliptin,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C17H25N3O2S/c1-18-23(21,22)10-7-13-3-4-17-15(11-13)16(12-19-17)14-5-8-20(2)9-6-14/h3-4,11-12,14,18-19H,5-10H2,1-2H3",R23_gupta_2019:162|R26_chico_2009:281|R47_radchenko_2020:503,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,4440.0,N-methyl-2-[3-(1-methylpiperidin-4-yl)-1H-indol-5-yl]ethanesulfonamide,Naratriptan,-0.41500000000000004,LogBB group B1,BBB+,BBB+/BBB- group A
"InChI=1S/C17H25N3O2S/c1-19(2)10-7-15-12-18-17-6-5-14(11-16(15)17)13-23(21,22)20-8-3-4-9-20/h5-6,11-12,18H,3-4,7-10,13H2,1-2H3",R14_ghose_2012:301|R26_chico_2009:22,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,123606.0,"N,N-dimethyl-2-[5-(pyrrolidin-1-ylsulfonylmethyl)-1H-indol-3-yl]ethanamine",Almotriptan,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H25N3O5S/c1-4-7-20-8-5-6-12(20)11-19-17(21)14-9-13(26(18,22)23)10-15(24-2)16(14)25-3/h4,9-10,12H,1,5-8,11H2,2-3H3,(H,19,21)(H2,18,22,23)",R6_adenot_2004:1233,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,47979.0,"2,3-dimethoxy-N-[(1-prop-2-enylpyrrolidin-2-yl)methyl]-5-sulfamoylbenzamide",Veralipride,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H25N3O5S/c1-7-12-11(8(2)21)16(23)20(12)13(17(24)25)14(7)26-9-5-10(18-6-9)15(22)19(3)4/h7-12,18,21H,5-6H2,1-4H3,(H,24,25)/t7-,8-,9+,10+,11-,12-/m1/s1",R6_adenot_2004:269,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,441130.0,"(4R,5S,6S)-3-[(3S,5S)-5-(dimethylcarbamoyl)pyrrolidin-3-yl]sulfanyl-6-[(1R)-1-hydroxyethyl]-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",Meropenem,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C17H25NO/c19-17-9-5-4-8-16(17)18-12-10-15(11-13-18)14-6-2-1-3-7-14/h1-3,6-7,15-17,19H,4-5,8-13H2",R26_chico_2009:442,OC1CCCCC1N1CCC(c2ccccc2)CC1,5662.0,2-(4-phenylpiperidin-1-yl)cyclohexan-1-ol,Vesamicol|2-(4-Phenylpiperidin-1-Yl)Cyclohexan-1-Ol,,No LogBB values,,No BBB label present
"InChI=1S/C17H25NO2/c1-4-14-13-18(3)12-11-17(14,20-16(19)5-2)15-9-7-6-8-10-15/h6-10,14H,4-5,11-13H2,1-3H3/t14-,17+/m0/s1",R6_adenot_2004:1008,CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@@H]1CC,61119.0,"[(3S,4R)-3-ethyl-1-methyl-4-phenylpiperidin-4-yl] propanoate",Alphameprodine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H25NO2/c1-4-14-13-18(3)12-11-17(14,20-16(19)5-2)15-9-7-6-8-10-15/h6-10,14H,4-5,11-13H2,1-3H3/t14-,17-/m1/s1",R6_adenot_2004:1012,CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@H]1CC,12218309.0,"[(3R,4R)-3-ethyl-1-methyl-4-phenylpiperidin-4-yl] propanoate",Betameprodine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H25NO2/c1-4-5-6-18-10-13-7-12-8-16(19-2)17(20-3)9-14(12)15(13)11-18/h8-9,13,15H,4-7,10-11H2,1-3H3",R21_muehlbacher_2011:150|R25_brito_sanchez_2015:401|R46_mendoza_valencia_2017:341|R47_radchenko_2020:353,CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,6086.0,"2-butyl-6,7-dimethoxy-3,3a,4,8b-tetrahydro-1H-indeno[1,2-c]pyrrole","Ar 1D9859|Ar-1D9859|2-Butyl-6,7-Dimethoxy-3,3A,4,8B-Tetrahydro-1H-Indeno[1,2-C]Pyrrole",0.31,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C17H25NO4/c1-20-14-11-13(12-15(21-2)16(14)22-3)17(19)18-9-7-5-4-6-8-10-18/h11-12H,4-10H2,1-3H3",R6_adenot_2004:630,COc1cc(C(=O)N2CCCCCCC2)cc(OC)c1OC,26650.0,"azocan-1-yl-(3,4,5-trimethoxyphenyl)methanone",Trocimine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H26ClN/c1-13(2)12-16(19(3)4)17(10-5-11-17)14-6-8-15(18)9-7-14/h6-9,13,16H,5,10-12H2,1-4H3",R6_adenot_2004:497|R14_ghose_2012:231|R23_gupta_2019:227,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,5210.0,"1-[1-(4-chlorophenyl)cyclobutyl]-N,N,3-trimethylbutan-1-amine",Sibutramine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H26FNO2/c1-13(2)16(6-4-3-5-7-17(20)21)19-12-14-8-10-15(18)11-9-14/h8-11,13,16,19H,3-7,12H2,1-2H3,(H,20,21)",R6_adenot_2004:636,CC(C)C(CCCCCC(=O)O)NCc1ccc(F)cc1,68789.0,7-[(4-fluorophenyl)methylamino]-8-methylnonanoic acid,Zafuleptine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H26N2O/c1-4-11-19-12-6-5-10-15(19)17(20)18-16-13(2)8-7-9-14(16)3/h7-9,15H,4-6,10-12H2,1-3H3,(H,18,20)/t15-/m0/s1",R14_ghose_2012:227|R23_gupta_2019:222|R37_chen_2011:88,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,175805.0,"(2S)-N-(2,6-dimethylphenyl)-1-propylpiperidine-2-carboxamide",Ropivacaine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H26N2O/c1-4-9-19(10-5-2)11-8-14-6-7-16(20)17-15(14)12-13(3)18-17/h6-7,18,20H,3-5,8-12H2,1-2H3",R28_li_2005:3,C=C1Cc2c(CCN(CCC)CCC)ccc(O)c2N1,,,1-48,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H26N2O2/c1-15(20)18-9-6-12-21-17-8-5-7-16(13-17)14-19-10-3-2-4-11-19/h5,7-8,13H,2-4,6,9-12,14H2,1H3,(H,18,20)",R3_abraham_2006:268|R3_abraham_2006:317|R4_mente_2005:133|R21_muehlbacher_2011:332|R25_brito_sanchez_2015:18|R26_chico_2009:59|R28_li_2005:161|R40_vilar_2010:251|R41_toropov_2017:240|R41_toropov_2017:283|R46_mendoza_valencia_2017:18|R47_radchenko_2020:223|R48_hou_2003:55|R49_norinder_2002:24|R49_norinder_2002:175|R52_liu_2001:24,CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,9971484.0,N-[3-[3-(piperidin-1-ylmethyl)phenoxy]propyl]acetamide,"Skb30|Bbcpd20|78273-74-2|Chebi: 338581|B-060|24|16|Acetamide, N-[3-[3-(1-Piperidinylmethyl)Phenoxy]Propyl]-",-0.46,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C17H26N2O3S/c1-14-5-9-18(10-6-14)11-7-15-8-12-19(15)23(21,22)17-4-2-3-16(20)13-17/h2-4,13-15,20H,5-12H2,1H3",R47_radchenko_2020:326,CC1CCN(CCC2CCN2S(=O)(=O)c2cccc(O)c2)CC1,,,S118,-0.08,LogBB group A,BBB+,BBB+/BBB- group A
"InChI=1S/C17H26N2O4S/c1-4-19-10-6-7-13(19)12-18-17(20)15-11-14(24(21,22)5-2)8-9-16(15)23-3/h8-9,11,13H,4-7,10,12H2,1-3H3,(H,18,20)",R6_adenot_2004:612,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC,5357.0,N-[(1-ethylpyrrolidin-2-yl)methyl]-5-ethylsulfonyl-2-methoxybenzamide,Sultopride,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H26N4O/c1-2-6-16-14(5-1)7-8-15(22-16)13-18-9-3-10-19-17-20-11-4-12-21-17/h1-2,5-6,15,18H,3-4,7-13H2,(H2,19,20,21)",R46_mendoza_valencia_2017:114|R47_radchenko_2020:439,c1ccc2c(c1)CCC(CNCCCNC1=NCCCN1)O2,9817881.0,"N-(3,4-dihydro-2H-chromen-2-ylmethyl)-N'-(1,4,5,6-tetrahydropyrimidin-2-yl)propane-1,3-diamine","N-(3,4-Dihydro-2H-Chromen-2-Ylmethyl)-N'-(1,4,5,6-Tetrahydropyrimidin-2-Yl)Propane-1,3-Diamine",-0.01,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C17H26N4O/c1-2-6-16-14(5-1)7-8-15(22-16)13-18-9-3-10-19-17-20-11-4-12-21-17/h1-2,5-6,15,18H,3-4,7-13H2,(H2,19,20,21)/t15-/m1/s1",R25_brito_sanchez_2015:116,c1ccc2c(c1)CC[C@H](CNCCCNC1=NCCCN1)O2,66004.0,"N-[[(2R)-3,4-dihydro-2H-chromen-2-yl]methyl]-N'-(1,4,5,6-tetrahydropyrimidin-2-yl)propane-1,3-diamine",Alniditan Dihydrochloride|Alniditan,-0.01,LogBB group A,BBB+,BBB+/BBB- group A
"InChI=1S/C17H26N4O/c1-3-22-14-13-21-16-8-5-4-7-15(16)18-17(21)20-10-6-9-19(2)11-12-20/h4-5,7-8H,3,6,9-14H2,1-2H3",R23_gupta_2019:554|R50_sobanska_2019:108,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,3219.0,"1-(2-ethoxyethyl)-2-(4-methyl-1,4-diazepan-1-yl)benzimidazole",Emedastine,,No LogBB values,,No BBB class assigned
"InChI=1S/C17H26N4O3S2/c1-12(16(5-6-22)26-25-10-15-4-3-7-24-15)21(11-23)9-14-8-19-13(2)20-17(14)18/h8,11,15,22H,3-7,9-10H2,1-2H3,(H2,18,19,20)/b16-12+",R6_adenot_2004:391,C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,3002119.0,N-[(4-amino-2-methylpyrimidin-5-yl)methyl]-N-[(E)-5-hydroxy-3-(oxolan-2-ylmethyldisulfanyl)pent-2-en-2-yl]formamide,Fursultiamine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H26N4O4S/c1-4-7-21-8-5-6-12(21)11-20-17(22)13-9-16(26(23,24)19-2)14(18)10-15(13)25-3/h4,9-10,12,19H,1,5-8,11,18H2,2-3H3,(H,20,22)",R6_adenot_2004:1111,C=CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,71253.0,4-amino-2-methoxy-5-(methylsulfamoyl)-N-[(1-prop-2-enylpyrrolidin-2-yl)methyl]benzamide,Alpiropride,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H27N/c1-18(2)14-13-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3,5-6,9-10,16-17H,4,7-8,11-14H2,1-2H3",R6_adenot_2004:553,CN(C)CCC(c1ccccc1)C1CCCCC1,31041.0,"3-cyclohexyl-N,N-dimethyl-3-phenylpropan-1-amine",Gamfexine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H27N3O4S/c1-4-20-8-6-7-12(20)11-19-17(21)13-9-16(25(22,23)5-2)14(18)10-15(13)24-3/h9-10,12H,4-8,11,18H2,1-3H3,(H,19,21)",R6_adenot_2004:1113|R14_ghose_2012:7|R23_gupta_2019:9|R34_broccatelli_2012:104|R37_chen_2011:3,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,2159.0,4-amino-N-[(1-ethylpyrrolidin-2-yl)methyl]-5-ethylsulfonyl-2-methoxybenzamide,Amisulpride,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H27NO/c1-15(2)10-13-19-17(14-18-11-6-7-12-18)16-8-4-3-5-9-16/h3-5,8-9,15,17H,6-7,10-14H2,1-2H3",R6_adenot_2004:487,CC(C)CCOC(CN1CCCC1)c1ccccc1,71911.0,1-[2-(3-methylbutoxy)-2-phenylethyl]pyrrolidine,Amixetrine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H27NO2/c1-18(2)13-16(17(19)11-5-4-6-12-17)14-7-9-15(20-3)10-8-14/h7-10,16,19H,4-6,11-13H2,1-3H3",R6_adenot_2004:632|R14_ghose_2012:268|R23_gupta_2019:261|R26_chico_2009:440|R34_broccatelli_2012:97|R37_chen_2011:103,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,5656.0,1-[2-(dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexan-1-ol,Venlafaxine,0.62,LogBB group A,BBB+,BBB+/BBB- group A
"InChI=1S/C17H27NO3/c1-4-17(5-2,13-18-16(20)10-7-11-19)14-8-6-9-15(12-14)21-3/h6,8-9,12,19H,4-5,7,10-11,13H2,1-3H3,(H,18,20)",R6_adenot_2004:1097,CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1,27453.0,N-[2-ethyl-2-(3-methoxyphenyl)butyl]-4-hydroxybutanamide,Embutramide,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H27NO4/c1-17(2,3)18-9-12(19)10-22-16-6-4-5-11-7-14(20)15(21)8-13(11)16/h4-6,12,14-15,18-21H,7-10H2,1-3H3",R46_mendoza_valencia_2017:330,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,4411.0,"5-[3-(tert-butylamino)-2-hydroxypropoxy]-1,2,3,4-tetrahydronaphthalene-2,3-diol",Solgol,-0.95,LogBB group A,BBB+,BBB+/BBB- group A
"InChI=1S/C17H27NO4/c1-17(2,3)18-9-12(19)10-22-16-6-4-5-11-7-14(20)15(21)8-13(11)16/h4-6,12,14-15,18-21H,7-10H2,1-3H3/t12?,14-,15+/m1/s1",R6_adenot_2004:50|R7_andres_2006:110|R25_brito_sanchez_2015:380|R29_subramanian_2003:107|R53_friden_2009:22,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,39147.0,"(2R,3S)-5-[3-(tert-butylamino)-2-hydroxypropoxy]-1,2,3,4-tetrahydronaphthalene-2,3-diol",Nadolol,-0.955,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C17H28N2O2/c1-5-18(6-2)16(20)14-12-9-10-13(11-12)15(14)17(21)19(7-3)8-4/h9-10,12-15H,5-8,11H2,1-4H3/t12-,13+,14-,15-/m0/s1",R6_adenot_2004:400,CCN(CC)C(=O)[C@@H]1[C@@H](C(=O)N(CC)CC)[C@H]2C=C[C@@H]1C2,20055317.0,"(1S,2S,3S,4R)-2-N,2-N,3-N,3-N-tetraethylbicyclo[2.2.1]hept-5-ene-2,3-dicarboxamide",Endomide,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C17H28N2O3/c1-4-7-11-21-16-13-14(8-9-15(16)18)17(20)22-12-10-19(5-2)6-3/h8-9,13H,4-7,10-12,18H2,1-3H3",R23_gupta_2019:805,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,4633.0,2-(diethylamino)ethyl 4-amino-3-butoxybenzoate,Oxybuprocaine,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C17H28N2O3S/c1-14-5-9-18(10-6-14)11-7-15-8-12-19(15)23(21,22)17-4-2-3-16(20)13-17/h3,13-15,20H,2,4-12H2,1H3",R45_hemmateenejad_2006:2,CC1CCN(CCC2CCN2S(=O)(=O)C2=CC(O)=CCC2)CC1,,,,-0.89,LogBB group A,BBB+,BBB+/BBB- group A
"InChI=1S/C17H28N2O5/c1-3-6-12(16(21)22)18-10(2)15(20)19-13-8-5-4-7-11(13)9-14(19)17(23)24/h10-14,18H,3-9H2,1-2H3,(H,21,22)(H,23,24)/t10-,11-,12-,13-,14-/m0/s1",R14_ghose_2012:763,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,72022.0,"(2S,3aS,7aS)-1-[(2S)-2-[[(1S)-1-carboxybutyl]amino]propanoyl]-2,3,3a,4,5,6,7,7a-octahydroindole-2-carboxylic acid",Perindoprilat,,No LogBB values,BBB-,BBB+/BBB- group C
